epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.906,1.3638,1.00508,1.21793,0.86411,0.72564,0.82,0.49628,1.41315,0.96865,1.23475,0.00055494,0.00055494,0.00055494
2,461.076,1.36615,0.90534,1.23058,0.85338,0.71414,0.8106,0.4981,1.39586,0.93108,1.2197,0.00108862,0.00108862,0.00108862
3,682.057,1.34156,0.87877,1.21466,0.88237,0.75861,0.85281,0.54335,1.31061,0.85404,1.17396,0.00160029,0.00160029,0.00160029
4,901.393,1.29262,0.82604,1.19214,0.87917,0.7734,0.85746,0.55936,1.22078,0.80096,1.15107,0.00156798,0.00156798,0.00156798
5,1120.39,1.2491,0.77305,1.16804,0.89527,0.77691,0.87112,0.57228,1.21026,0.75964,1.14,0.00153497,0.00153497,0.00153497
6,1339.89,1.22061,0.74198,1.14996,0.90942,0.78535,0.88334,0.59983,1.16137,0.70122,1.09854,0.00150197,0.00150197,0.00150197
7,1558.82,1.19334,0.71663,1.13801,0.90576,0.80282,0.89095,0.59928,1.15526,0.68839,1.11749,0.00146896,0.00146896,0.00146896
8,1777.81,1.16825,0.6933,1.12515,0.91131,0.80705,0.89458,0.60817,1.13038,0.68197,1.09195,0.00143595,0.00143595,0.00143595
9,1996.99,1.15191,0.67796,1.11657,0.91759,0.81943,0.90629,0.62347,1.11108,0.63391,1.08106,0.00140295,0.00140295,0.00140295
10,2216.46,1.1395,0.6663,1.11157,0.91602,0.82601,0.90985,0.6282,1.09254,0.6242,1.0759,0.00136994,0.00136994,0.00136994
11,2435.57,1.12379,0.64995,1.10143,0.92019,0.82685,0.91044,0.63061,1.08433,0.6255,1.06273,0.00133693,0.00133693,0.00133693
12,2654.61,1.10845,0.63834,1.09672,0.92193,0.82838,0.91032,0.63054,1.10649,0.61145,1.07433,0.00130393,0.00130393,0.00130393
13,2873.42,1.10139,0.6292,1.09008,0.92322,0.83642,0.91768,0.64526,1.0621,0.58704,1.05015,0.00127092,0.00127092,0.00127092
14,3092.87,1.09306,0.62149,1.08851,0.92457,0.83836,0.91758,0.64507,1.06088,0.58935,1.04909,0.00123791,0.00123791,0.00123791
15,3312.18,1.08166,0.61203,1.07886,0.92787,0.83129,0.91667,0.64753,1.06467,0.58863,1.05622,0.00120491,0.00120491,0.00120491
16,3531.17,1.07055,0.60299,1.07398,0.92132,0.84669,0.92162,0.6514,1.06004,0.57707,1.05079,0.0011719,0.0011719,0.0011719
17,3750.12,1.06176,0.59648,1.07243,0.92885,0.85011,0.92422,0.6497,1.04909,0.56502,1.03781,0.00113889,0.00113889,0.00113889
18,3968.94,1.04995,0.58862,1.06808,0.92242,0.85324,0.9239,0.6553,1.04299,0.56119,1.04268,0.00110589,0.00110589,0.00110589
19,4187.84,1.04429,0.58219,1.06295,0.93102,0.85759,0.92808,0.66117,1.03621,0.54995,1.03758,0.00107288,0.00107288,0.00107288
20,4406.78,1.04185,0.57633,1.06353,0.93029,0.8556,0.9281,0.66348,1.03808,0.54613,1.03921,0.00103987,0.00103987,0.00103987
21,4625.78,1.02766,0.56545,1.05398,0.9297,0.8568,0.92946,0.66427,1.02544,0.54126,1.02989,0.00100687,0.00100687,0.00100687
22,4844.39,1.02163,0.56292,1.05149,0.93272,0.85803,0.93051,0.66533,1.02899,0.53682,1.03278,0.000973861,0.000973861,0.000973861
23,5063.43,1.01042,0.55444,1.04665,0.9274,0.86248,0.93173,0.66885,1.01587,0.52761,1.02745,0.000940855,0.000940855,0.000940855
24,5282.43,1.00432,0.54909,1.04637,0.92688,0.86401,0.93173,0.67134,1.00982,0.52041,1.02526,0.000907848,0.000907848,0.000907848
25,5501.09,1.00011,0.54372,1.0402,0.94029,0.85903,0.9321,0.67029,1.00895,0.52432,1.02378,0.000874842,0.000874842,0.000874842
26,5719.86,0.98481,0.53614,1.03543,0.93242,0.86009,0.93202,0.67074,1.00866,0.51889,1.02666,0.000841835,0.000841835,0.000841835
27,5938.58,0.98077,0.53476,1.03312,0.92941,0.86507,0.93383,0.67671,1.0032,0.50527,1.01817,0.000808828,0.000808828,0.000808828
28,6157.49,0.97614,0.53081,1.03096,0.93282,0.86577,0.93596,0.6777,0.99766,0.50582,1.01737,0.000775822,0.000775822,0.000775822
29,6376.32,0.9681,0.5233,1.02888,0.93391,0.86629,0.93637,0.68142,0.9898,0.49847,1.01055,0.000742815,0.000742815,0.000742815
